Timestamp,Timestamp (ISO 8601),X,Y,Page
1763286265.290871,2025-11-16T15:14:25.290871,847,971,disabled_charging_1
1763286265.339253,2025-11-16T15:14:25.339252,564,851,disabled_charging_1
1763286265.385872,2025-11-16T15:14:25.385871,670,912,disabled_charging_1
1763286265.432267,2025-11-16T15:14:25.432267,322,453,disabled_charging_1
1763286265.496061,2025-11-16T15:14:25.496060,391,567,disabled_charging_1
1763286265.542642,2025-11-16T15:14:25.542641,309,565,disabled_charging_1
1763286265.588429,2025-11-16T15:14:25.588429,298,553,disabled_charging_1
1763286265.636061,2025-11-16T15:14:25.636061,559,658,disabled_charging_1
1763286265.681194,2025-11-16T15:14:25.681194,565,688,disabled_charging_1
1763286265.729738,2025-11-16T15:14:25.729738,1107,1065,disabled_charging_1
1763286265.790021,2025-11-16T15:14:25.790020,1210,863,disabled_charging_1
1763286265.835912,2025-11-16T15:14:25.835911,1133,886,disabled_charging_1
1763286265.883656,2025-11-16T15:14:25.883656,1172,863,disabled_charging_1
1763286265.930885,2025-11-16T15:14:25.930884,1169,801,disabled_charging_1
1763286265.977613,2025-11-16T15:14:25.977612,1047,649,disabled_charging_1
1763286266.024641,2025-11-16T15:14:26.024640,1205,531,disabled_charging_1
1763286266.088389,2025-11-16T15:14:26.088389,1052,478,disabled_charging_1
1763286266.150205,2025-11-16T15:14:26.150205,1051,552,disabled_charging_1
1763286266.196418,2025-11-16T15:14:26.196418,1068,427,disabled_charging_1
1763286266.243887,2025-11-16T15:14:26.243887,1160,626,disabled_charging_1
1763286266.291392,2025-11-16T15:14:26.291392,1027,620,disabled_charging_1
1763286266.339083,2025-11-16T15:14:26.339083,1256,651,disabled_charging_1
1763286266.384671,2025-11-16T15:14:26.384670,1125,839,disabled_charging_1
1763286266.454609,2025-11-16T15:14:26.454609,1075,875,disabled_charging_1
1763286266.509478,2025-11-16T15:14:26.509478,1092,849,disabled_charging_1
1763286266.603677,2025-11-16T15:14:26.603677,1055,838,disabled_charging_1
1763286266.650208,2025-11-16T15:14:26.650208,1000,832,disabled_charging_1
1763286266.695749,2025-11-16T15:14:26.695748,1035,773,driving_page_1
1763286266.760430,2025-11-16T15:14:26.760429,1106,899,driving_page_1
1763286266.805766,2025-11-16T15:14:26.805765,929,934,driving_page_1
1763286266.853539,2025-11-16T15:14:26.853539,1201,919,driving_page_1
1763286266.898601,2025-11-16T15:14:26.898601,1092,932,driving_page_1
1763286266.945990,2025-11-16T15:14:26.945990,1081,930,driving_page_1
1763286266.997607,2025-11-16T15:14:26.997606,1089,943,driving_page_1
1763286267.040704,2025-11-16T15:14:27.040703,1023,610,driving_page_1
1763286267.086445,2025-11-16T15:14:27.086444,961,629,driving_page_1
1763286267.132656,2025-11-16T15:14:27.132656,605,664,driving_page_1
